doc_id,source,category,file_path,file_name,status,priority
dnv_dnv_class_2026_04_dnv_cg_0339_bf9a037e,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0339.pdf,DNV-CG-0339.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0372_30aa97f9,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0372.pdf,DNV-CG-0372.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0447_c6764f74,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0447.pdf,DNV-CG-0447.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0456_48af40b6,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0456.pdf,DNV-CG-0456.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0493_7e858c39,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0493.pdf,DNV-CG-0493.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0508_0819d4fd,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0508.pdf,DNV-CG-0508.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0550_a5138b95,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0550.pdf,DNV-CG-0550.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0554_fde170ce,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0554.pdf,DNV-CG-0554.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0556_424d92d4,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0556.pdf,DNV-CG-0556.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0557_93ef3b83,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0557.pdf,DNV-CG-0557.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0564_2a1bee2d,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0564.pdf,DNV-CG-0564.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0565_c44acd65,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0565.pdf,DNV-CG-0565.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0580_010398b0,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0580.pdf,DNV-CG-0580.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0588_16c51a86,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0588.pdf,DNV-CG-0588.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0594_97b30edc,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0594.pdf,DNV-CG-0594.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0608_c09be872,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0608.pdf,DNV-CG-0608.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0647_5fc46d00,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0647.pdf,DNV-CG-0647.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0649_6018f94d,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0649.pdf,DNV-CG-0649.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0659_403d7bd3,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0659.pdf,DNV-CG-0659.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0660_cd6c46d0,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0660.pdf,DNV-CG-0660.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0662_afcc3e58,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0662.pdf,DNV-CG-0662.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0667_3ade4784,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0667.pdf,DNV-CG-0667.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cg_0672_5ba771fa,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CG-0672.pdf,DNV-CG-0672.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0031_0c6d84d9,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0031.pdf,DNV-CP-0031.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0068_0ae1c87d,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0068.pdf,DNV-CP-0068.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0069_794e56de,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0069.pdf,DNV-CP-0069.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0070_4dfc1495,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0070.pdf,DNV-CP-0070.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0072_a4db9350,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0072.pdf,DNV-CP-0072.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0081_6e0883e5,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0081.pdf,DNV-CP-0081.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0082_65f4d7e3,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0082.pdf,DNV-CP-0082.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0083_c879cec1,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0083.pdf,DNV-CP-0083.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0084_745b69ee,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0084.pdf,DNV-CP-0084.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0085_00d60caa,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0085.pdf,DNV-CP-0085.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0086_5f8c4744,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0086.pdf,DNV-CP-0086.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0089_93eadf67,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0089.pdf,DNV-CP-0089.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0092_2f1e0175,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0092.pdf,DNV-CP-0092.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0093_d22b28e7,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0093.pdf,DNV-CP-0093.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0094_f906152e,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0094.pdf,DNV-CP-0094.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0095_ca7c00c7,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0095.pdf,DNV-CP-0095.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0096_b3a25e1b,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0096.pdf,DNV-CP-0096.pdf,pending,3
